Business Name,Address of establishment,Town,Type of cuisine,Average price,Business hours,Average rating,Number of reviews,Date of last rating,Position in the ranking,Minimum Price,Maximum Price,Month,Year Of Rating,Price Range,Rating Label
Vinoteca Con Pasión,"Calle Iriarte 52 Local 4/5, 38400 Puerto de la Cruz, Tenerife Spain", Loro Parque,"International, Mediterranean, European, Spanish, Healthy, Wine Bar, Gastropub",2.99 - 14.95,"Mon - Tue : 12:00 PM - 3:30 PM,  6:30 PM - 10:30 PM
Thu - Sat : 12:00 PM - 3:30 PM,  6:30 PM - 10:30 PM",5.0,582,"January 19, 2022",6,2.99,14.95,January 19, 2022,Cheap,Excellent
Overdose,"Calle Perez Cabrero y Tur numero 5, 07800, Ibiza Town, Ibiza Spain", Castell de Eivissa,"American, Pizza, International, Asian, Healthy",5.3 - 13.25,Wed - Mon : 12:30 PM - 12:30 AM,5.0,3,"October 19, 2019",7,5.3,13.25,October 19, 2019,Cheap,Excellent
Muchacosa,"Calle de Les Alcines 4 Local 9, 07800, Ibiza Town, Ibiza Spain", Castell de Eivissa,"Italian, Fast Food, British",6.97 - 19.93,Sun - Sat : 12:00 PM - 3:00 AM,4.5,7,"September 11, 2014",52,6.97,19.93,September 11, 2014,Cheap,Excellent
Edelweiss,"Avenida del Marques Villanueva Prado 6 C.C. Canary Center, local 10, 38400 Puerto de la Cruz, Tenerife Spain", Loro Parque,"International, Mediterranean, European, Healthy, Central European",6.97 - 15.95,"Fri - Tue : 12:30 PM - 3:30 PM,  6:30 PM - 10:30 PM",4.5,748,"January 17, 2022",9,6.97,15.95,January 17, 2022,Cheap,Excellent
Restaurante La Carta,"Calle San Felipe 53 Provincia de Santa Cruz de Tenerife, 38400 Puerto de la Cruz, Tenerife Spain", Loro Parque,"Mediterranean, European, Spanish, Fusion",0.12 - 0.13,Thu - Mon : 6:00 PM - 10:30 PM,4.5,697,"November 8, 2021",14,0.12,0.13,November 8, 2021,Cheap,Excellent
Miraflores Golf Restaurant,"Calle Severiano Ballesteros s/n Urb. Riviera del Sol, 29650, Mijas Spain", Puerto Banus Marina,"Mediterranean, International, European, Contemporary, Bar, Pub",2.0 - 39.86,"Sun : 9:00 AM - 11:00 PM
Mon - Sat : 8:00 AM - 11:00 PM",4.5,187,"January 20, 2022",25,2.0,39.86,January 20, 2022,Cheap,Excellent
Restaurante El Capitan,"Calle las Acacias Nr. 1, 35100 San Agustin, Maspalomas, Gran Canaria Spain", Playa de Maspalomas,"Seafood, Mediterranean, European, Spanish, International",3.98 - 15.95,Sun - Sat : 9:00 AM - 12:00 AM,3.0,1155,"January 3, 2022",51,3.98,15.95,January 3, 2022,Cheap,Average
Baraka Cafe & Grill,"Calle Mequinez 2 Location B, 38400 Puerto de la Cruz, Tenerife Spain", Loro Parque,"American, Spanish, Portuguese, Venezuelan, Mediterranean, European",5.98 - 24.91,Wed - Mon : 11:00 AM - 10:00 PM,5.0,75,"November 23, 2021",21,5.98,24.91,November 23, 2021,Cheap,Excellent
Rosa Negra,"Calle Hoya 30 Terraza en calle la Hoya., 38400 Puerto de la Cruz, Tenerife Spain", Loro Parque,"Mediterranean, European, Spanish",4.99 - 19.93,Mon - Fri : 11:30 AM - 10:00 PM,4.5,468,"December 10, 2021",18,4.99,19.93,December 10, 2021,Cheap,Excellent
Casa Mika,"Calle la Verdad 11, 38400 Puerto de la Cruz, Tenerife Spain", Loro Parque,"Mediterranean, European, Spanish",11.96 - 19.93,"Fri - Tue : 12:00 PM - 4:00 PM,  6:00 PM - 10:30 PM",4.5,713,"January 3, 2022",19,11.96,19.93,January 3, 2022,Average,Excellent
Peccati Di Gola,"Avenida de La Virgen de La Peña 5, 29650, Mijas Spain", Los Boliches,"Italian, Pizza",9.96 - 13.95,Wed - Mon : 12:00 PM - 11:00 PM,4.0,300,"January 10, 2022",4,9.96,13.95,January 10, 2022,Cheap,Excellent
Dos Leones,"Calle de José Orbaneja Calahonda 35, 29649, Mijas Spain", Puerto Banus Marina,"Mediterranean, European, International",7.97 - 25.91,Tue - Sun : 5:00 PM - 10:00 PM,4.5,109,"October 23, 2021",26,7.97,25.91,October 23, 2021,Cheap,Excellent
La Herreria,"Calle Cologan 7 Geheimtipp, 38400 Puerto de la Cruz, Tenerife Spain", Loro Parque,"Mediterranean, European, Spanish, International",14.95 - 39.86,Wed - Sun : 12:30 PM - 10:30 PM,4.5,599,"January 13, 2022",24,14.95,39.86,January 13, 2022,Average,Excellent
Tasca el Olivo,"Calle Iriarte 1, 38400 Puerto de la Cruz, Tenerife Spain", Loro Parque,"Mediterranean, European, Spanish, Healthy",9.96 - 34.88,"Sun : 1:00 PM - 3:30 PM
Wed - Thu : 1:00 PM - 10:00 PM
Fri - Sat : 1:00 PM - 10:30 PM",4.5,1051,"November 13, 2021",21,9.96,34.88,November 13, 2021,Cheap,Excellent
Atuvera,"Avenida Juan Tejera 2, 38400 Puerto de la Cruz, Tenerife Spain", Loro Parque,"Mediterranean, European, Spanish, International, Fusion",12.96 - 26.91,"Sun : 12:30 PM - 5:00 PM
Tue - Thu : 12:30 PM - 5:00 PM
Fri - Sat : 12:30 PM - 10:30 PM",4.5,270,"October 3, 2021",22,12.96,26.91,October 3, 2021,Average,Excellent
La Bahia del Pajar,"El Pajar 2, 35290 Arguineguin, Mogan, Gran Canaria Spain", El Faro de Maspalomas,"Seafood, Mediterranean, European, Spanish",17.66 - 29.14,Tue - Sun : 12:00 PM - 11:00 PM,4.0,304,"January 17, 2022",15,17.66,29.14,January 17, 2022,Average,Excellent
La Cuevita Ayagaures,"Barranco de Ayagaures 52 Ayagaures, Km 8, 35109, San Bartolome de Tirajana, Gran Canaria Spain", Palmitos Park,"International, Mediterranean, European, Spanish, Dining bars",3.98 - 12.96,Sun - Sat : 9:00 AM - 10:30 PM,4.5,126,"December 11, 2021",12,3.98,12.96,December 11, 2021,Cheap,Excellent
El Rinconcito de Manel,"Calle Colón, 23A, Salou - Tarragona, 43840 Salou Spain", PortAventura,Mediterranean,4.99 - 19.93,Wed - Mon : 10:00 AM - 9:00 PM,4.5,45,"October 23, 2019",48,4.99,19.93,October 23, 2019,Cheap,Excellent
WISSLER // Bar & Burgers,"Carretera de la Costa 80, 43840 Salou Spain", PortAventura,"Bar, Gastropub, Dining bars",7.97 - 24.91,"Mon : 2:15 PM - 12:00 AM
Thu : 2:15 PM - 12:00 AM
Fri : 7:00 PM - 12:00 AM
Sat - Sun : 1:00 PM - 12:00 AM",4.5,107,"December 30, 2021",24,7.97,24.91,December 30, 2021,Cheap,Excellent
Carn&Co,"Carrer ciutat de Reus 28, 43840 Salou Spain", PortAventura,"Steakhouse, Latin, Barbecue, Argentinean, Spanish, South American",4.42 - 44.16,"Sun : 11:30 AM - 4:30 PM
Tue - Thu : 11:30 AM - 4:00 PM
Fri - Sat : 11:30 AM - 12:00 AM",5.0,25,"July 6, 2021",98,4.42,44.16,July 6, 2021,Cheap,Excellent
Monsoon Beach salou,"Carrer de Barcelona 33 Restaurant monsoon beach, 43840 Salou Spain", PortAventura,"Indian, Mediterranean, European, Spanish",4.99 - 27.91,Sun - Sat : 12:00 AM - 11:59 PM,4.5,73,"October 14, 2021",5,4.99,27.91,October 14, 2021,Cheap,Excellent
Restaurante Patriarca,"Passeig de Miramar Num. 40, 43840 Salou Spain", PortAventura,"Italian, Pizza, Mediterranean, European, Spanish",8.83 - 22.08,"Wed - Mon : 12:00 PM - 4:00 PM,  8:00 PM - 12:00 AM",4.0,140,"May 19, 2019",16,8.83,22.08,May 19, 2019,Cheap,Excellent
70s & 80s American Diner,"Calle Carles Buigas 20, 43840 Salou Spain", PortAventura,"American, Fast Food, Diner",2.0 - 14.95,Sun - Sat : 9:00 AM - 12:00 AM,4.0,147,"October 23, 2019",7,2.0,14.95,October 23, 2019,Cheap,Excellent
La Tagliatella Salou,"C/ Murillo 6-10, 43840 Salou Spain", PortAventura,"Italian, Pizza, Mediterranean, European",14.13 - 15.9,"Sun - Sat : 1:00 PM - 5:00 PM,  7:00 PM - 12:00 AM",4.0,235,"November 2, 2021",17,14.13,15.9,November 2, 2021,Average,Excellent
Flash Bar Food & Music,"Montso, 3 Al lado de Flash Back, 43840 Salou Spain", PortAventura,"Mediterranean, European",17.94 - 34.88,Thu - Sat : 8:30 PM - 12:00 AM,4.5,81,"August 16, 2017",63,17.94,34.88,August 16, 2017,Average,Excellent
Golf Las Américas Restaurant,"Calle Landa Golf 22 Playa de Las Américas 3, 38650 Playa de las Americas, Arona, Tenerife Spain", Los Cristianos Harbour,"Italian, European, Spanish, Diner, Healthy",19.93 - 44.84,Sun - Sat : 8:00 AM - 6:00 PM,4.5,3,"June 14, 2021",215,19.93,44.84,June 14, 2021,Average,Excellent
Casa Pache,"Calle Verdad 6, 38400 Puerto de la Cruz, Tenerife Spain", Loro Parque,"Mediterranean, Spanish",5.98 - 9.96,"Thu - Mon : 12:30 PM - 4:30 PM
Thu - Tue : 6:00 PM - 10:30 PM",4.5,499,"December 29, 2021",24,5.98,9.96,December 29, 2021,Cheap,Excellent
Brunelli's Steakhouse,"Calle Bencomo 42, 38400 Puerto de la Cruz, Tenerife Spain", Loro Parque,"Barbecue, American, Steakhouse, European, Spanish, Healthy",27.91 - 44.84,"Thu - Mon : 1:00 PM - 3:30 PM,  7:00 PM - 11:00 PM",4.5,1319,"January 12, 2022",34,27.91,44.84,January 12, 2022,Average,Excellent
Tasca Los Mellizos,"Calle Melchor Luz, 2 Edf Teneguia. Tasca los mellizos., 38400 Puerto de la Cruz, Tenerife Spain", Loro Parque,"Mediterranean, European, Spanish",5.98 - 19.93,Thu - Tue : 12:00 PM - 11:00 PM,4.5,231,"January 8, 2022",42,5.98,19.93,January 8, 2022,Cheap,Excellent
Terraza Taoro,"Carretera del Taoro N 9, 38400 Puerto de la Cruz, Tenerife Spain", Loro Parque,"Bar, Cafe, Mediterranean, European, Spanish, International",14.13 - 22.96,"Sun : 10:00 AM - 10:00 PM
Mon - Thu : 11:00 AM - 10:00 PM
Fri : 11:00 AM - 11:00 PM
Sat : 10:00 AM - 11:00 PM",4.5,310,"September 30, 2021",43,14.13,22.96,September 30, 2021,Average,Excellent
KAFKA Cook & Art,"Calle de la Cruz Verde 2, 38400 Puerto de la Cruz, Tenerife Spain", Loro Parque,"Mediterranean, European, Spanish",19.93 - 34.88,"Sun : 1:00 PM - 3:30 PM,  7:00 PM - 10:00 PM
Tue : 1:00 PM - 3:30 PM,  7:00 PM - 10:00 PM
Wed - Sat : 1:00 PM - 10:30 PM",4.5,284,"January 26, 2022",49,19.93,34.88,January 26, 2022,Average,Excellent
Churros de Ibiza,"Carrer del General Joan Pereyra i Morante, 7, 07800, Ibiza Town, Ibiza Spain", Castell de Eivissa,"Spanish, Fusion",2.0 - 14.95,Tue - Sun : 8:30 AM - 3:00 PM,4.0,4,"August 15, 2021",129,2.0,14.95,August 15, 2021,Cheap,Excellent
La Creme de la Creme,"Calle de Josep Verdera 10, 07800, Ibiza Town, Ibiza Spain", Castell de Eivissa,"French, Spanish",3.98 - 14.95,Wed - Mon : 6:00 PM - 4:00 AM,5.0,4,"September 20, 2016",11,3.98,14.95,September 20, 2016,Cheap,Excellent
Casa Magnolia,"Avenida Marqués de Villanueva del Prado, 38400 Puerto de la Cruz, Tenerife Spain", Loro Parque,"Mediterranean, European, Spanish, International",13.25 - 22.08,"Wed - Sun : 1:00 PM - 4:00 PM,  7:00 PM - 11:00 PM",4.0,515,"December 31, 2021",52,13.25,22.08,December 31, 2021,Average,Excellent
Restaurante la Esencia,"Calle Uruguay 7, 38400 Puerto de la Cruz, Tenerife Spain", Loro Parque,"European, Mediterranean",14.95 - 24.91,Tue - Sat : 5:00 PM - 9:30 PM,4.5,147,"May 4, 2021",56,14.95,24.91,May 4, 2021,Average,Excellent
Don Carlos,"Calle de Quintana 15 Inside Hotel Monopol, 38400 Puerto de la Cruz, Tenerife Spain", Loro Parque,"Spanish, Mediterranean",14.95 - 29.89,Sun - Sat : 11:00 AM - 11:00 PM,4.5,79,"January 16, 2022",55,14.95,29.89,January 16, 2022,Average,Excellent
La Papessa,"Calle Medico Antonio Serra con Ignacio Wallis, 07800, Ibiza Spain", Castell de Eivissa,"Contemporary, Fast Food, Spanish, Wine Bar",2.99 - 19.93,Sun - Sat : 9:00 AM - 1:00 AM,3.5,48,"July 18, 2019",12,2.99,19.93,July 18, 2019,Cheap,Average
Chloe bar & tapas,"10 avenida Pedro matutes noguera local 10, 07800, Ibiza Spain", Castell de Eivissa,Spanish,3.98 - 19.93,"Sun : 10:00 AM - 5:00 PM
Mon - Sat : 8:00 AM - 12:00 AM",4.0,7,"July 25, 2020",81,3.98,19.93,July 25, 2020,Cheap,Excellent
Le Privilege Restaurant,"Urbanizacion San Rafael, 07816, Ibiza Spain", Castell de Eivissa,French,64.47 - 126.31,Sun - Sat : 12:00 PM - 7:00 AM,5.0,4,"May 24, 2016",6,64.47,126.31,May 24, 2016,Average,Excellent
Nobu Restaurant Ibiza,"Carrer de Ses Feixes, 52, 07800, Ibiza Spain", Castell de Eivissa,"Japanese, Sushi, Asian",99.66 - 199.31,Sun - Sat : 7:00 PM - 11:00 PM,4.0,162,"September 27, 2021",81,99.66,199.31,September 27, 2021,Average,Excellent
Solaris Cafe Ibiza,"Avenida Andanes 5 Carrer Andenes 5, 07800, Ibiza Town, Ibiza Spain", Castell de Eivissa,"Cafe, International",4.99 - 14.95,Sun - Sat : 10:00 AM - 3:00 AM,5.0,3,"September 15, 2015",32,4.99,14.95,September 15, 2015,Cheap,Excellent
Bluenose II,"2, Calle de Fra Juníper Serra Intersección Carles Büigas, 43840 Salou Spain", PortAventura,"Bar, Pub, Spanish",2.0 - 11.96,Sun - Sat : 11:00 AM - 3:00 AM,5.0,29,"November 14, 2019",34,2.0,11.96,November 14, 2019,Cheap,Excellent
Gaucho Steakhouse Salou,"Calle Brusselas 6, 43840 Salou Spain", PortAventura,"Steakhouse, International, Barbecue, European",4.99 - 24.91,"Sun : 12:00 AM - 4:00 PM
Sun - Sat : 6:00 PM - 11:30 PM
Mon - Sat : 12:00 PM - 4:00 PM",4.0,250,"July 4, 2021",12,4.99,24.91,July 4, 2021,Cheap,Excellent
La Sal Salou,"C/ Colon 13, 43840 Salou Spain", PortAventura,"Bar, Mediterranean, European, Spanish",14.13 - 30.03,Sun - Sat : 9:00 AM - 3:30 AM,3.5,441,"September 19, 2021",36,14.13,30.03,September 19, 2021,Average,Average
Le Club,"Paseo Marítimo S/n, 38660, Adeje, Tenerife Spain", Siam Park,"Mediterranean, Spanish, European",2.99 - 209.28,Sun - Sat : 10:00 AM - 7:00 PM,3.0,116,"January 4, 2022",99,2.99,209.28,January 4, 2022,Cheap,Average
Thalassa Restaurant,"Calle Espigó Del Moll, s/n, 43840 Salou Spain", PortAventura,"International, Spanish, Seafood, Mediterranean, European, Catalan",4.99 - 34.88,Sun - Sat : 11:00 AM - 11:30 PM,3.5,241,"September 24, 2019",16,4.99,34.88,September 24, 2019,Cheap,Average
El Pescador,"Lugar Puerto Viejo 8, 38400 Puerto de la Cruz, Tenerife Spain", Loro Parque,"Seafood, Mediterranean, European, Spanish, International",12.96 - 24.91,Sun - Sat : 12:00 PM - 11:30 PM,4.0,781,"March 8, 2020",62,12.96,24.91,March 8, 2020,Average,Excellent
Da Arianna Restaurante,"Avenida del Marques Villanueva Prado 17, 38400 Puerto de la Cruz, Tenerife Spain", Loro Parque,"Italian, Pizza, Mediterranean",5.98 - 19.93,"Sun - Thu : 1:00 PM - 11:00 PM
Fri - Sat : 1:00 PM - 12:00 AM",4.0,620,"November 16, 2021",67,5.98,19.93,November 16, 2021,Cheap,Excellent
Restaurante Tapas Nada más,"Calle Mequinez 19, 38400 Puerto de la Cruz, Tenerife Spain", Loro Parque,"Italian, Pizza, Seafood, European, Spanish",4.99 - 24.91,Sun - Sat : 10:30 AM - 11:30 PM,4.0,347,"November 27, 2020",8,4.99,24.91,November 27, 2020,Cheap,Excellent
Tasca Los Lobos,"Avenida Francisco Afonso Carrillo1, Bahia Playa D 38400 Puerto de la Cruz, 38400 Puerto de la Cruz, Tenerife Spain", Loro Parque,"International, German, Spanish, Healthy",6.97 - 19.93,"Tue : 5:00 PM - 10:00 PM
Fri : 5:00 PM - 10:00 PM
Sat - Mon : 12:00 PM - 10:00 PM",5.0,61,"September 7, 2021",70,6.97,19.93,September 7, 2021,Cheap,Excellent
Buddy's Bar,"Avenida Familia Betancourt y Molina 2, 38400 Puerto de la Cruz, Tenerife Spain", Loro Parque,"European, Pub, Bar",2.0 - 5.98,Tue - Sun : 11:00 AM - 1:00 AM,5.0,61,"December 8, 2021",74,2.0,5.98,December 8, 2021,Cheap,Excellent
Ristta Thai Food,"Calle Iriarte 31, 38400 Puerto de la Cruz, Tenerife Spain", Loro Parque,"Asian, Thai",9.96 - 39.86,"Wed - Mon : 1:00 PM - 4:00 PM,  6:30 PM - 10:00 PM",5.0,37,"January 10, 2022",71,9.96,39.86,January 10, 2022,Cheap,Excellent
Le Duque,"Calle Puerto Viejo N°43, 38400 Puerto de la Cruz, Tenerife Spain", Loro Parque,"Healthy, Gastropub, Bar, Pizza, Cafe, Mediterranean, Spanish, Pub",2.0 - 10.96,"Sun : 4:00 PM - 2:00 AM
Tue : 12:00 AM - 2:00 AM,  5:00 PM - 2:00 AM
Wed : 5:00 PM - 12:00 AM
Thu - Sat : 5:00 PM - 2:00 AM",5.0,73,"November 27, 2021",14,2.0,10.96,November 27, 2021,Cheap,Excellent
Restaurante-Pizzeria Don Camilo,"Calle Mequinez 53 Edificio Parque, 38400 Puerto de la Cruz, Tenerife Spain", Loro Parque,Italian,6.97 - 17.94,Wed - Mon : 11:30 AM - 10:30 PM,4.0,909,"January 8, 2022",80,6.97,17.94,January 8, 2022,Cheap,Excellent
Marlin Restaurant,"Calle Anaterve 1 Plaza Manuel Ballesteros, 38400 Puerto de la Cruz, Tenerife Spain", Loro Parque,"Italian, Seafood, European",24.91 - 39.86,Wed - Mon : 12:00 PM - 10:00 PM,4.0,164,"January 8, 2022",83,24.91,39.86,January 8, 2022,Average,Excellent
El Figón,"Calle Iriarte 10 El Figón, 38400 Puerto de la Cruz, Tenerife Spain", Loro Parque,"Deli, Spanish",2.99 - 13.95,Sun - Sat : 9:00 AM - 2:00 AM,4.5,70,"April 6, 2018",85,2.99,13.95,April 6, 2018,Cheap,Excellent
Restaurante Divino,"Plaza del Charco 14, 38400 Puerto de la Cruz, Tenerife Spain", Loro Parque,"International, Mediterranean, Spanish, European",4.99 - 14.95,Sun - Sat : 12:00 PM - 12:00 AM,4.5,50,"January 5, 2022",79,4.99,14.95,January 5, 2022,Cheap,Excellent
Taska La Alberka,"Carretera Icod Santa Cruz 41 La Higuerita, 38400 Puerto de la Cruz, Tenerife Spain", Loro Parque,"Mediterranean, European",9.96 - 24.91,"Sun : 12:30 PM - 4:30 PM
Wed - Sat : 12:30 PM - 11:00 PM",4.5,84,"November 12, 2018",88,9.96,24.91,November 12, 2018,Cheap,Excellent
El Padrino,"Calle Lomo 17, 38400 Puerto de la Cruz, Tenerife Spain", Loro Parque,"European, Spanish",13.25 - 15.9,Tue - Sun : 6:00 PM - 10:00 PM,4.5,169,"January 4, 2022",73,13.25,15.9,January 4, 2022,Average,Excellent
Arepera La Carajita,"Calle Cooperativa 11 La Vera, 38400 Puerto de la Cruz, Tenerife Spain", Loro Parque,"Latin, Healthy, Venezuelan, Contemporary, Dining bars",4.99 - 9.96,Tue - Sun : 1:00 PM - 10:00 PM,4.0,565,"January 20, 2020",3,4.99,9.96,January 20, 2020,Cheap,Excellent
Aroma Cafe & Secret Garden,"Calle San Sebastian 8, 29650, Mijas Spain", Los Boliches,"Mediterranean, Barbecue, European, Spanish",4.42 - 22.08,"Mon - Thu : 6:30 PM - 12:00 AM
Fri - Sun : 12:00 PM - 12:00 AM",4.0,1551,"December 5, 2021",18,4.42,22.08,December 5, 2021,Cheap,Excellent
Max Beach,"Road Málaga-Cádiz, 198, 29649, Mijas Spain", Puerto Banus Marina,"Mediterranean, International",11.96 - 64.78,Sun - Sat : 10:00 AM - 2:00 AM,4.0,259,"January 16, 2022",8,11.96,64.78,January 16, 2022,Average,Excellent
Sanahoria Healthy Café,"Calle del Roque de Jama 2 Edf. Garajonay II, local 5, 38650 Los Cristianos, Arona, Tenerife Spain", Los Cristianos Harbour,"European, Spanish",1.76 - 7.07,"Mon - Fri : 8:00 AM - 4:00 PM
Sat : 8:00 AM - 2:00 PM",5.0,3,"December 9, 2021",118,1.76,7.07,December 9, 2021,Cheap,Excellent
Amich Lounge Bar,"Paseo Maritimo, C.C. Ledesbell, 17 Local 14, 38650 Los Cristianos, Arona, Tenerife Spain", Los Cristianos Harbour,"Bar, Pub",4.99 - 14.95,"Wed - Mon : 5:00 PM - 1:00 AM
Wed : 12:00 AM - 1:00 AM",5.0,3,"July 23, 2021",65,4.99,14.95,July 23, 2021,Cheap,Excellent
La Cantinetta Ibiza,"Caje Pere Francès 6, 07800, Ibiza Town, Ibiza Spain", Castell de Eivissa,"Italian, Mediterranean",9.96 - 24.91,"Mon - Fri : 1:00 PM - 10:30 PM
Sat : 6:00 PM - 11:45 PM",4.5,3,"August 6, 2019",58,9.96,24.91,August 6, 2019,Cheap,Excellent
Da Sidhu,"Calle Bisbe Carrasco 4, 07800, Ibiza Town, Ibiza Spain", Castell de Eivissa,"Italian, Indian, Pizza",6.18 - 23.84,"Sun : 7:00 PM - 3:00 AM
Sun - Sat : 1:00 PM - 4:00 PM
Mon - Thu : 7:00 PM - 12:00 AM
Fri : 7:00 PM - 3:00 AM
Sat : 7:00 PM - 12:00 AM",3.5,29,"November 2, 2019",59,6.18,23.84,November 2, 2019,Cheap,Average
Café bar sa torre,"Av Pedro matutes Noguera 24 Bajo, 07800, Ibiza Town, Ibiza Spain", Castell de Eivissa,Italian,6.97 - 14.95,"Sun : 8:00 AM - 12:00 AM
Mon - Fri : 7:00 AM - 11:00 PM
Sat : 7:00 AM - 12:00 AM",4.0,4,"September 1, 2018",62,6.97,14.95,September 1, 2018,Cheap,Excellent
Roosters Ibiza,"Carrer de Font i Quer, 15/17, 07800, Ibiza Town, Ibiza Spain", Castell de Eivissa,"American, Italian, Spanish",3.98 - 11.96,Sun - Sat : 12:30 PM - 11:59 PM,3.5,22,"May 8, 2020",63,3.98,11.96,May 8, 2020,Cheap,Average
Honua Poke Ibiza,"Carrer porreres, 2 Edificio Acapulco, 07817, Ibiza Spain", Castell de Eivissa,Hawaiian,4.99 - 13.95,Sun - Sat : 11:00 AM - 11:45 PM,4.5,15,"July 27, 2021",2,4.99,13.95,July 27, 2021,Cheap,Excellent
Bar Daba,"Carrer Berenguer De Palou, 6 C/ Berenguer de Palou, 6, 43840 Salou Spain", PortAventura,Spanish,2.99 - 14.95,Tue - Sun : 9:00 AM - 12:00 AM,4.0,46,"September 8, 2017",83,2.99,14.95,September 8, 2017,Cheap,Excellent
Classic's,"Via Augusta 11, 43840 Salou Spain", PortAventura,"American, Fast Food",56.8 - 97.66,"Sun : 11:00 AM - 1:00 AM
Tue - Thu : 8:00 AM - 1:00 AM
Fri : 8:00 AM - 2:00 AM
Sat : 11:00 AM - 2:00 AM",4.0,44,"August 23, 2016",8,56.8,97.66,August 23, 2016,Average,Excellent
Lydia's Smokehouse,"Carrer Joan De Austria 16, Ibiza, 07800, Ibiza Spain", Castell de Eivissa,American,14.95 - 15.95,Sun - Sat : 4:00 PM - 12:00 AM,3.0,66,"January 15, 2022",9,14.95,15.95,January 15, 2022,Average,Average
Pigro,"Avenida 8 de Agosto n.32 Local 8, Edificio Nueva Ibiza, 07800, Ibiza Spain", Castell de Eivissa,"Italian, Mediterranean, Healthy, Wine Bar",4.99 - 24.91,Mon - Sat : 12:00 PM - 12:00 AM,4.5,29,"August 14, 2019",39,4.99,24.91,August 14, 2019,Cheap,Excellent
Restaurante Rincon Latino,"Av. d'Isidor Macabich, 72 Diagonal al correo de Ibiza, 07800, Ibiza Town, Ibiza Spain", Castell de Eivissa,"Latin, Cafe, Venezuelan, South American, Colombian, Ecuadorean",2.65 - 15.02,"Wed - Thu : 9:00 AM - 5:00 PM
Fri - Tue : 9:00 AM - 11:00 PM",5.0,1 review,"June 14, 2021",5,2.65,15.02,June 14, 2021,Cheap,Excellent
New Amigos,"Calle Mayor, 61, 43840 Salou Spain", PortAventura,"Mediterranean, International, European, Bar, Pub",5.98 - 20.93,Sun - Sat : 9:00 AM - 11:59 PM,4.0,137,"September 28, 2021",41,5.98,20.93,September 28, 2021,Cheap,Excellent
Houdini's Attic,"Espigó del Moll Sn, 43840 Salou Spain", PortAventura,"American, Mediterranean, Spanish, Asian, British",4.99 - 29.89,Thu - Mon : 1:00 PM - 4:30 PM,4.0,37,"October 18, 2021",10,4.99,29.89,October 18, 2021,Cheap,Excellent
Acantilados,"Calle C/ Colón, s/n, 43840 Salou Spain", PortAventura,"Seafood, Mediterranean, Spanish, Healthy",14.95 - 24.91,"Thu - Tue : 11:00 AM - 4:00 PM,  7:30 PM - 12:00 AM",4.0,101,"September 9, 2019",17,14.95,24.91,September 9, 2019,Average,Excellent
Heineken House,"Carrer de Barbastre 3, 43840 Salou Spain", PortAventura,"International, Spanish, Dutch, Bar, European, Pub",2.99 - 19.93,Sun - Sat : 10:00 AM - 3:00 AM,4.0,69,"October 4, 2021",2,2.99,19.93,October 4, 2021,Cheap,Excellent
Restaurant Tennis Salou H2O,"Carrer de l'Avenç, 37, 43840 Salou Spain", PortAventura,"Mediterranean, Spanish, Barbecue",11.96 - 24.91,Sun - Sat : 9:00 AM - 12:00 AM,4.0,29,"April 11, 2017",175,11.96,24.91,April 11, 2017,Average,Excellent
DeLocos Tenerife,"Calle Iriarte, 38400 Puerto de la Cruz, Tenerife Spain", Loro Parque,"International, Fusion",5.98 - 13.95,Sun - Sat : 5:00 PM - 2:00 AM,4.5,50,"November 21, 2021",95,5.98,13.95,November 21, 2021,Cheap,Excellent
Restaurante Zebra Maria,"Carretera de El Botanico, 38400 Puerto de la Cruz, Tenerife Spain", Loro Parque,"Pizza, Mediterranean, European",8.83 - 26.5,Tue - Sun : 1:00 PM - 11:00 PM,4.0,270,"November 7, 2021",96,8.83,26.5,November 7, 2021,Cheap,Excellent
Casa Raidel,"Calle de San Felipe 44, 38400 Puerto de la Cruz, Tenerife Spain", Loro Parque,"Mediterranean, Spanish, International, Fusion, Catalan",13.95 - 19.93,"Sun : 12:30 PM - 4:00 PM
Tue - Sat : 7:30 PM - 10:30 PM
Thu - Sat : 1:00 PM - 4:00 PM",5.0,33,"January 30, 2020",97,13.95,19.93,January 30, 2020,Average,Excellent
El Rey de las Tortillas,"Carretera Botanico 14, 38400 Puerto de la Cruz, Tenerife Spain", Loro Parque,"Bar, Mediterranean, European, Spanish, Healthy",2.0 - 10.96,Sun - Sat : 12:30 PM - 11:00 PM,4.5,46,"October 25, 2021",106,2.0,10.96,October 25, 2021,Cheap,Excellent
